,0
648,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]"
649,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]"
650,"[(0, 2), (0, 3), (0, 4), (0, 9), (0, 10), (1, 2), (1, 5), (1, 9), (1, 13), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (2, 13), (3, 4), (3, 9), (3, 10), (4, 9), (4, 10), (5, 9), (5, 13), (6, 7), (6, 8), (6, 11), (6, 12), (7, 8), (7, 11), (7, 12), (8, 11), (8, 12), (9, 10), (9, 13), (11, 12)]"
651,"[(0, 3), (0, 8), (0, 9), (0, 11), (0, 13), (0, 14), (0, 16), (1, 2), (1, 7), (1, 10), (1, 12), (1, 14), (1, 17), (1, 18), (2, 7), (2, 10), (2, 12), (2, 14), (2, 17), (2, 18), (3, 8), (3, 9), (3, 11), (3, 13), (3, 14), (3, 16), (4, 5), (4, 6), (4, 7), (4, 14), (4, 15), (5, 6), (5, 7), (5, 14), (5, 15), (6, 7), (6, 14), (6, 15), (7, 10), (7, 12), (7, 14), (7, 15), (7, 17), (7, 18), (8, 9), (8, 11), (8, 13), (8, 14), (8, 16), (9, 11), (9, 13), (9, 14), (9, 16), (10, 12), (10, 14), (10, 17), (10, 18), (11, 13), (11, 14), (11, 16), (12, 14), (12, 17), (12, 18), (13, 14), (13, 16), (14, 15), (14, 16), (14, 17), (14, 18), (17, 18)]"
652,"[(0, 2), (0, 4), (0, 8), (0, 9), (0, 10), (1, 2), (1, 3), (1, 5), (1, 6), (1, 7), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (3, 5), (3, 6), (3, 7), (4, 8), (4, 9), (4, 10), (5, 6), (5, 7), (6, 7), (8, 9), (8, 10), (9, 10)]"
653,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (1, 2), (1, 6), (1, 7), (2, 6), (2, 7), (3, 4), (3, 5), (4, 5), (6, 7)]"
654,"[(0, 2), (0, 4), (0, 6), (0, 7), (0, 9), (0, 11), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (0, 22), (0, 23), (0, 25), (0, 27), (0, 28), (0, 29), (0, 32), (0, 33), (0, 35), (0, 40), (0, 41), (0, 42), (0, 43), (0, 44), (0, 45), (0, 47), (0, 49), (0, 55), (0, 57), (0, 58), (1, 3), (1, 5), (1, 7), (1, 8), (1, 10), (1, 12), (1, 13), (1, 14), (1, 20), (1, 21), (1, 24), (1, 26), (1, 27), (1, 30), (1, 31), (1, 33), (1, 34), (1, 36), (1, 37), (1, 38), (1, 39), (1, 44), (1, 46), (1, 47), (1, 48), (1, 50), (1, 51), (1, 52), (1, 53), (1, 54), (1, 55), (1, 56), (1, 59), (2, 4), (2, 6), (2, 7), (2, 9), (2, 11), (2, 15), (2, 16), (2, 17), (2, 18), (2, 19), (2, 22), (2, 23), (2, 25), (2, 27), (2, 28), (2, 29), (2, 32), (2, 33), (2, 35), (2, 40), (2, 41), (2, 42), (2, 43), (2, 44), (2, 45), (2, 47), (2, 49), (2, 55), (2, 57), (2, 58), (3, 5), (3, 8), (3, 10), (3, 12), (3, 13), (3, 14), (3, 20), (3, 21), (3, 24), (3, 26), (3, 30), (3, 31), (3, 33), (3, 34), (3, 36), (3, 37), (3, 38), (3, 39), (3, 46), (3, 47), (3, 48), (3, 50), (3, 51), (3, 52), (3, 53), (3, 54), (3, 55), (3, 56), (3, 59), (4, 6), (4, 7), (4, 9), (4, 11), (4, 15), (4, 16), (4, 17), (4, 18), (4, 19), (4, 22), (4, 23), (4, 25), (4, 27), (4, 28), (4, 29), (4, 32), (4, 33), (4, 35), (4, 40), (4, 41), (4, 42), (4, 43), (4, 44), (4, 45), (4, 47), (4, 49), (4, 55), (4, 57), (4, 58), (5, 8), (5, 10), (5, 12), (5, 13), (5, 14), (5, 20), (5, 21), (5, 24), (5, 26), (5, 30), (5, 31), (5, 33), (5, 34), (5, 36), (5, 37), (5, 38), (5, 39), (5, 46), (5, 47), (5, 48), (5, 50), (5, 51), (5, 52), (5, 53), (5, 54), (5, 55), (5, 56), (5, 59), (6, 7), (6, 9), (6, 11), (6, 15), (6, 16), (6, 17), (6, 18), (6, 19), (6, 22), (6, 23), (6, 25), (6, 27), (6, 28), (6, 29), (6, 32), (6, 33), (6, 35), (6, 40), (6, 41), (6, 42), (6, 43), (6, 44), (6, 45), (6, 47), (6, 49), (6, 55), (6, 57), (6, 58), (7, 9), (7, 11), (7, 15), (7, 16), (7, 17), (7, 18), (7, 19), (7, 22), (7, 23), (7, 25), (7, 26), (7, 27), (7, 28), (7, 29), (7, 31), (7, 32), (7, 33), (7, 35), (7, 36), (7, 38), (7, 40), (7, 41), (7, 42), (7, 43), (7, 44), (7, 45), (7, 47), (7, 48), (7, 49), (7, 52), (7, 54), (7, 55), (7, 57), (7, 58), (8, 10), (8, 12), (8, 13), (8, 14), (8, 20), (8, 21), (8, 24), (8, 26), (8, 30), (8, 31), (8, 33), (8, 34), (8, 36), (8, 37), (8, 38), (8, 39), (8, 46), (8, 47), (8, 48), (8, 50), (8, 51), (8, 52), (8, 53), (8, 54), (8, 55), (8, 56), (8, 59), (9, 11), (9, 15), (9, 16), (9, 17), (9, 18), (9, 19), (9, 22), (9, 23), (9, 25), (9, 27), (9, 28), (9, 29), (9, 32), (9, 33), (9, 35), (9, 40), (9, 41), (9, 42), (9, 43), (9, 44), (9, 45), (9, 47), (9, 49), (9, 55), (9, 57), (9, 58), (10, 12), (10, 13), (10, 14), (10, 20), (10, 21), (10, 24), (10, 26), (10, 30), (10, 31), (10, 33), (10, 34), (10, 36), (10, 37), (10, 38), (10, 39), (10, 46), (10, 47), (10, 48), (10, 50), (10, 51), (10, 52), (10, 53), (10, 54), (10, 55), (10, 56), (10, 59), (11, 15), (11, 16), (11, 17), (11, 18), (11, 19), (11, 22), (11, 23), (11, 25), (11, 27), (11, 28), (11, 29), (11, 32), (11, 33), (11, 35), (11, 40), (11, 41), (11, 42), (11, 43), (11, 44), (11, 45), (11, 47), (11, 49), (11, 55), (11, 57), (11, 58), (12, 13), (12, 14), (12, 20), (12, 21), (12, 24), (12, 26), (12, 30), (12, 31), (12, 33), (12, 34), (12, 36), (12, 37), (12, 38), (12, 39), (12, 46), (12, 47), (12, 48), (12, 50), (12, 51), (12, 52), (12, 53), (12, 54), (12, 55), (12, 56), (12, 59), (13, 14), (13, 20), (13, 21), (13, 24), (13, 26), (13, 30), (13, 31), (13, 33), (13, 34), (13, 36), (13, 37), (13, 38), (13, 39), (13, 46), (13, 47), (13, 48), (13, 50), (13, 51), (13, 52), (13, 53), (13, 54), (13, 55), (13, 56), (13, 59), (14, 20), (14, 21), (14, 24), (14, 26), (14, 30), (14, 31), (14, 33), (14, 34), (14, 36), (14, 37), (14, 38), (14, 39), (14, 46), (14, 47), (14, 48), (14, 50), (14, 51), (14, 52), (14, 53), (14, 54), (14, 55), (14, 56), (14, 59), (15, 16), (15, 17), (15, 18), (15, 19), (15, 22), (15, 23), (15, 25), (15, 27), (15, 28), (15, 29), (15, 32), (15, 33), (15, 35), (15, 40), (15, 41), (15, 42), (15, 43), (15, 44), (15, 45), (15, 47), (15, 49), (15, 55), (15, 57), (15, 58), (16, 17), (16, 18), (16, 19), (16, 22), (16, 23), (16, 25), (16, 27), (16, 28), (16, 29), (16, 32), (16, 33), (16, 35), (16, 40), (16, 41), (16, 42), (16, 43), (16, 44), (16, 45), (16, 47), (16, 49), (16, 55), (16, 57), (16, 58), (17, 18), (17, 19), (17, 22), (17, 23), (17, 25), (17, 27), (17, 28), (17, 29), (17, 32), (17, 33), (17, 35), (17, 40), (17, 41), (17, 42), (17, 43), (17, 44), (17, 45), (17, 47), (17, 49), (17, 55), (17, 57), (17, 58), (18, 19), (18, 22), (18, 23), (18, 25), (18, 27), (18, 28), (18, 29), (18, 32), (18, 33), (18, 35), (18, 40), (18, 41), (18, 42), (18, 43), (18, 44), (18, 45), (18, 47), (18, 49), (18, 55), (18, 57), (18, 58), (19, 22), (19, 23), (19, 25), (19, 27), (19, 28), (19, 29), (19, 32), (19, 33), (19, 35), (19, 40), (19, 41), (19, 42), (19, 43), (19, 44), (19, 45), (19, 47), (19, 49), (19, 55), (19, 57), (19, 58), (20, 21), (20, 24), (20, 26), (20, 30), (20, 31), (20, 33), (20, 34), (20, 36), (20, 37), (20, 38), (20, 39), (20, 46), (20, 47), (20, 48), (20, 50), (20, 51), (20, 52), (20, 53), (20, 54), (20, 55), (20, 56), (20, 59), (21, 24), (21, 26), (21, 30), (21, 31), (21, 33), (21, 34), (21, 36), (21, 37), (21, 38), (21, 39), (21, 46), (21, 47), (21, 48), (21, 50), (21, 51), (21, 52), (21, 53), (21, 54), (21, 55), (21, 56), (21, 59), (22, 23), (22, 25), (22, 27), (22, 28), (22, 29), (22, 32), (22, 33), (22, 35), (22, 40), (22, 41), (22, 42), (22, 43), (22, 44), (22, 45), (22, 47), (22, 49), (22, 55), (22, 57), (22, 58), (23, 25), (23, 27), (23, 28), (23, 29), (23, 32), (23, 33), (23, 35), (23, 40), (23, 41), (23, 42), (23, 43), (23, 44), (23, 45), (23, 47), (23, 49), (23, 55), (23, 57), (23, 58), (24, 26), (24, 30), (24, 31), (24, 33), (24, 34), (24, 36), (24, 37), (24, 38), (24, 39), (24, 46), (24, 47), (24, 48), (24, 50), (24, 51), (24, 52), (24, 53), (24, 54), (24, 55), (24, 56), (24, 59), (25, 27), (25, 28), (25, 29), (25, 32), (25, 33), (25, 35), (25, 40), (25, 41), (25, 42), (25, 43), (25, 44), (25, 45), (25, 47), (25, 49), (25, 55), (25, 57), (25, 58), (26, 27), (26, 30), (26, 31), (26, 33), (26, 34), (26, 36), (26, 37), (26, 38), (26, 39), (26, 44), (26, 46), (26, 47), (26, 48), (26, 50), (26, 51), (26, 52), (26, 53), (26, 54), (26, 55), (26, 56), (26, 59), (27, 28), (27, 29), (27, 31), (27, 32), (27, 33), (27, 35), (27, 36), (27, 38), (27, 40), (27, 41), (27, 42), (27, 43), (27, 44), (27, 45), (27, 47), (27, 48), (27, 49), (27, 52), (27, 54), (27, 55), (27, 57), (27, 58), (28, 29), (28, 32), (28, 33), (28, 35), (28, 40), (28, 41), (28, 42), (28, 43), (28, 44), (28, 45), (28, 47), (28, 49), (28, 55), (28, 57), (28, 58), (29, 32), (29, 33), (29, 35), (29, 40), (29, 41), (29, 42), (29, 43), (29, 44), (29, 45), (29, 47), (29, 49), (29, 55), (29, 57), (29, 58), (30, 31), (30, 33), (30, 34), (30, 36), (30, 37), (30, 38), (30, 39), (30, 46), (30, 47), (30, 48), (30, 50), (30, 51), (30, 52), (30, 53), (30, 54), (30, 55), (30, 56), (30, 59), (31, 33), (31, 34), (31, 36), (31, 37), (31, 38), (31, 39), (31, 44), (31, 46), (31, 47), (31, 48), (31, 50), (31, 51), (31, 52), (31, 53), (31, 54), (31, 55), (31, 56), (31, 59), (32, 33), (32, 35), (32, 40), (32, 41), (32, 42), (32, 43), (32, 44), (32, 45), (32, 47), (32, 49), (32, 55), (32, 57), (32, 58), (33, 34), (33, 35), (33, 36), (33, 37), (33, 38), (33, 39), (33, 40), (33, 41), (33, 42), (33, 43), (33, 44), (33, 45), (33, 46), (33, 47), (33, 48), (33, 49), (33, 50), (33, 51), (33, 52), (33, 53), (33, 54), (33, 55), (33, 56), (33, 57), (33, 58), (33, 59), (34, 36), (34, 37), (34, 38), (34, 39), (34, 46), (34, 47), (34, 48), (34, 50), (34, 51), (34, 52), (34, 53), (34, 54), (34, 55), (34, 56), (34, 59), (35, 40), (35, 41), (35, 42), (35, 43), (35, 44), (35, 45), (35, 47), (35, 49), (35, 55), (35, 57), (35, 58), (36, 37), (36, 38), (36, 39), (36, 44), (36, 46), (36, 47), (36, 48), (36, 50), (36, 51), (36, 52), (36, 53), (36, 54), (36, 55), (36, 56), (36, 59), (37, 38), (37, 39), (37, 46), (37, 47), (37, 48), (37, 50), (37, 51), (37, 52), (37, 53), (37, 54), (37, 55), (37, 56), (37, 59), (38, 39), (38, 44), (38, 46), (38, 47), (38, 48), (38, 50), (38, 51), (38, 52), (38, 53), (38, 54), (38, 55), (38, 56), (38, 59), (39, 46), (39, 47), (39, 48), (39, 50), (39, 51), (39, 52), (39, 53), (39, 54), (39, 55), (39, 56), (39, 59), (40, 41), (40, 42), (40, 43), (40, 44), (40, 45), (40, 47), (40, 49), (40, 55), (40, 57), (40, 58), (41, 42), (41, 43), (41, 44), (41, 45), (41, 47), (41, 49), (41, 55), (41, 57), (41, 58), (42, 43), (42, 44), (42, 45), (42, 47), (42, 49), (42, 55), (42, 57), (42, 58), (43, 44), (43, 45), (43, 47), (43, 49), (43, 55), (43, 57), (43, 58), (44, 45), (44, 47), (44, 48), (44, 49), (44, 52), (44, 54), (44, 55), (44, 57), (44, 58), (45, 47), (45, 49), (45, 55), (45, 57), (45, 58), (46, 47), (46, 48), (46, 50), (46, 51), (46, 52), (46, 53), (46, 54), (46, 55), (46, 56), (46, 59), (47, 48), (47, 49), (47, 50), (47, 51), (47, 52), (47, 53), (47, 54), (47, 55), (47, 56), (47, 57), (47, 58), (47, 59), (48, 50), (48, 51), (48, 52), (48, 53), (48, 54), (48, 55), (48, 56), (48, 59), (49, 55), (49, 57), (49, 58), (50, 51), (50, 52), (50, 53), (50, 54), (50, 55), (50, 56), (50, 59), (51, 52), (51, 53), (51, 54), (51, 55), (51, 56), (51, 59), (52, 53), (52, 54), (52, 55), (52, 56), (52, 59), (53, 54), (53, 55), (53, 56), (53, 59), (54, 55), (54, 56), (54, 59), (55, 56), (55, 57), (55, 58), (55, 59), (56, 59), (57, 58)]"
655,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]"
656,"[(0, 4), (0, 5), (0, 8), (0, 9), (0, 10), (1, 2), (1, 3), (1, 4), (1, 6), (1, 7), (2, 3), (2, 4), (2, 6), (2, 7), (3, 4), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7), (4, 8), (4, 9), (4, 10), (5, 8), (5, 9), (5, 10), (6, 7), (8, 9), (8, 10), (9, 10)]"
657,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]"
658,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]"
659,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]"
660,"[(0, 3), (0, 4), (0, 8), (0, 13), (1, 2), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (1, 12), (1, 15), (2, 8), (2, 9), (2, 15), (3, 4), (3, 8), (3, 13), (4, 8), (4, 13), (5, 6), (5, 7), (5, 8), (5, 12), (6, 7), (6, 8), (6, 12), (7, 8), (7, 12), (8, 9), (8, 10), (8, 11), (8, 12), (8, 13), (8, 14), (8, 15), (9, 15), (10, 11), (10, 14), (11, 14)]"
661,"[(0, 3), (0, 9), (0, 14), (0, 15), (0, 21), (1, 4), (1, 12), (1, 14), (1, 16), (1, 19), (1, 20), (2, 5), (2, 6), (2, 7), (2, 13), (2, 14), (2, 21), (3, 9), (3, 14), (3, 15), (3, 21), (4, 12), (4, 14), (4, 16), (4, 19), (4, 20), (5, 6), (5, 7), (5, 13), (5, 14), (5, 21), (6, 7), (6, 13), (6, 14), (6, 21), (7, 13), (7, 14), (7, 21), (8, 10), (8, 11), (8, 14), (8, 17), (8, 18), (9, 14), (9, 15), (9, 21), (10, 11), (10, 14), (10, 17), (10, 18), (11, 14), (11, 17), (11, 18), (12, 14), (12, 16), (12, 19), (12, 20), (13, 14), (13, 21), (14, 15), (14, 16), (14, 17), (14, 18), (14, 19), (14, 20), (14, 21), (15, 21), (16, 19), (16, 20), (17, 18), (19, 20)]"
662,"[(0, 1), (0, 2), (0, 3), (0, 5), (0, 6), (0, 9), (0, 11), (0, 12), (0, 13), (1, 2), (1, 3), (1, 5), (1, 6), (1, 9), (1, 11), (1, 12), (1, 13), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (2, 12), (2, 13), (2, 14), (3, 5), (3, 6), (3, 9), (3, 11), (3, 12), (3, 13), (4, 7), (4, 8), (4, 10), (4, 14), (5, 6), (5, 9), (5, 11), (5, 12), (5, 13), (6, 9), (6, 11), (6, 12), (6, 13), (7, 8), (7, 10), (7, 14), (8, 10), (8, 14), (9, 11), (9, 12), (9, 13), (10, 14), (11, 12), (11, 13), (12, 13)]"
663,"[(0, 2), (0, 3), (0, 4), (0, 8), (1, 2), (1, 5), (1, 6), (1, 7), (1, 9), (1, 10), (1, 11), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (2, 11), (3, 4), (3, 8), (4, 8), (5, 6), (5, 7), (5, 9), (5, 10), (5, 11), (6, 7), (6, 9), (6, 10), (6, 11), (7, 9), (7, 10), (7, 11), (9, 10), (9, 11), (10, 11)]"
664,"[(0, 5), (0, 8), (0, 9), (0, 13), (0, 14), (0, 15), (0, 17), (0, 18), (0, 22), (1, 2), (1, 3), (1, 4), (1, 7), (1, 9), (1, 24), (1, 25), (2, 3), (2, 4), (2, 7), (2, 9), (2, 24), (2, 25), (3, 4), (3, 7), (3, 9), (3, 24), (3, 25), (4, 7), (4, 9), (4, 24), (4, 25), (5, 8), (5, 9), (5, 13), (5, 14), (5, 15), (5, 17), (5, 18), (5, 22), (6, 9), (6, 11), (6, 12), (6, 21), (6, 23), (7, 9), (7, 24), (7, 25), (8, 9), (8, 13), (8, 14), (8, 15), (8, 17), (8, 18), (8, 22), (9, 10), (9, 11), (9, 12), (9, 13), (9, 14), (9, 15), (9, 16), (9, 17), (9, 18), (9, 19), (9, 20), (9, 21), (9, 22), (9, 23), (9, 24), (9, 25), (10, 16), (10, 19), (10, 20), (11, 12), (11, 21), (11, 23), (12, 21), (12, 23), (13, 14), (13, 15), (13, 17), (13, 18), (13, 22), (14, 15), (14, 17), (14, 18), (14, 22), (15, 17), (15, 18), (15, 22), (16, 19), (16, 20), (17, 18), (17, 22), (18, 22), (19, 20), (21, 23), (24, 25)]"
665,"[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (2, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 5), (4, 6), (5, 6)]"
